"id","product_category_id","name","price","short_description","long_description"
1,1,Nike Dunk Low SE,7437,Women's Shoes,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with animal prints and metallic hits that let your primal side shine through.With its classic hoops design, the Nike Dunk Low SE channels vintage style, rocking a padded, low-cut collar so you can take your game anywhere—in comfort."
2,1,Nike Air Force 1 Pixel,6637,Women's Shoes,"You've always been on point. Let there be no doubt in the Nike Air Force 1 Pixel. The distorted outsole and lifted midsole feature large, pixelated details for a futuristic touch."
3,1,Nike Blazer Low X,6557,Men's Shoes,"Praised by the streets for classic simplicity and comfort, the must-have wardrobe staple just got re-imagined.A plush, 3/4-length foam wedge in the midsole pillows your step.A sleek, low-profile tongue feels soft and smooth.Fresh Swoosh branding adds depth and energy.Crisp, tumbled leather and a sleek, low-top design make it easy to style.Meet the Blazer Low X."
4,1,Nike Burrow,3197,Men's Slipper,"There's nothing like cosying up to a campfire.Nothing like adventure.But also, there's nothing like the comfort of home.The Nike Burrow lets you bridge worlds.Slip them on and get lounging or step out of the tent and enjoy the fresh mountain air.Its fleece-like lining helps keep you warm.The marshmallow soft foam midsole/outsole with grippy traction pattern adds spring to your step."
5,1,NikeCourt Lite 2,3997,Men's Hard Court Tennis Shoe,"The NikeCourt Lite 2 is designed to cushion and support your feet during training and play.Created specifically for hard courts, its unique outsole features 5 distinctive patterns.Each pattern is designed to visually outline 1 of the 5 basic movements new tennis players learn."
6,1,Nike Air Zoom Pegasus 38 Premium,9197,Women's Road Running Shoes,"Your workhorse with wings returns with colours and shapes inspired by your cosy, winter favourites.The Nike Air Zoom Pegasus 38 Premium continues to put a spring in your step, using the same responsive foam as its predecessor.Breathable mesh combines the comfort and durability you want with a wider fit at the toes.It's a fun, winter-clothing-inspired spin on a running essential."
7,1,Nike Revolution 5,2957,Men's Road Running Shoes,"When the road beckons, answer the call in a lightweight pair that'll keep you moving mile after mile. Soft foam cushions your stride and a reinforced heel delivers a smooth, stable ride. Crafted from knit material for breathable support, while a minimalist design fits in just about anywhere your day takes you."
8,1,Nike Air Force 1 '07 Premium,9197,Men's Shoe,Distinct: a Swoosh logo and heel crafted from richly textured plant material that comes from pineapple leaf fibre.Rare: a cork upper that delivers a singular look with golden undertones.You lacing up the Nike Air Force 1 '07 Premium: exquisitely unconventional.Why: because conventional never made the history books.
9,1,Kyrie Flytrap 4 EP,6557,Basketball Shoe,"Play quick on your edges in the Kyrie Flytrap 4, a shoe that's lightweight, supportive and easy to move in. The newest addition to Kyrie's on-court arsenal, his 4th Flytrap has updated grip and responsiveness. A large Zoom Air unit returns more energy than the previous model for cushioning on the court. An internal forefoot band helps stabilise you over the footbed as you move in and out of cuts. This EP version uses an extra-durable outsole that's ideal for outdoor courts."
10,1,Nike Mercurial Vapor 14 Club FG/MG,3997,Multi-Ground Football Boot,The Nike Mercurial Vapor 14 Club FG/MG sets you up for speed with specially designed studs for quick cuts and sudden stops.Grippy texture throughout the upper provides precise control when dribbling at higher speeds.
11,1,Nike Renew In-Season TR 11,4797,Women's Training Shoe,"The Nike Renew In-Season TR 11 has a deep, comfortable footbed with soft foam that gives you superior cushioning and energy return for HIIT classes that take you from floor exercises to the treadmill. The sole adds a supportive arc to the side to help keep your foot contained during lateral moves."
12,1,Nike Kepa Kai,1597,Men's Slides,"The Nike Kepa Kai Slide delivers the underfoot comfort of dual-density foam in a casual flip-flop, ideal for all-day wear in warm weather. Soft, lined straps provide a secure fit, while the herringbone texture on the footbed and outsole add grip instead of slip."
13,1,Jordan 'Why Not?' Zer0.4,9197,Basketball Shoes,"Speed is Russell Westbrook's not-so-secret weapon. He out-hustles the competition, building momentum and muscling his way onto the highlight reel. Cue the Jordan 'Why Not?' Zer0.4, the first to feature double-stacked Zoom in the forefoot. It's an extra-responsive cushioning system that's designed to help him transform his speed into force and focus his attack."
14,1,Nike Air Max 97,12397,Women's Shoe,"With the iconic ripple design that was inspired by Japanese bullet trains, the Nike Air Max 97 lets you push your style full speed ahead.Taking the revolutionary full-length Nike Air unit that shook up the running world and adding fresh colours and crisp details, it lets you ride in comfort."
15,1,Nike Air Zoom Tempo NEXT%,14077,Men's Road Running Shoes,"While these speedsters could easily pass the test on race day, they double as your go-to shoe for your training routine. The supportive fit and soft cushioning work together to make them comfortable enough to withstand those double-digit mileage days, and light enough to help quicken your tempo when the time is right."
16,1,Nike Air Force 1 '07 Essential,6557,Women's Shoes,"The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: stitched overlays, bold details and the perfect amount of hoops style to make heads turn."
17,1,Nike Varsity,3597,Older Kids' Road Running Shoes,"Join the squad with the Nike Varsity.These running shoes are made with extra durability in mind for break, athletics and everything in between.Mix in soft cushioning and a star-studded sole—the sky's the limit for how far you can go."
18,1,Nike Air Max 95 SE,12397,Men's Shoe,"The ""Air Max Running Club"" is Nike's fictional athletics team, bringing '70s athletics inspiration to streetwear staples.Mixing retro fun with new flash, the Nike Air Max 95 SE includes the original's iconic side panels in era-echoing materials.Athletics West-inspired branding celebrates sport.Visible Air cushioning adds comfort to your journey."
19,1,Nike Renew Elevate 2,5437,Basketball Shoe,"Players who feel fresh play stronger down the stretch.The Nike Renew Elevate 2 is built to perform, providing responsive cushioning and plush comfort that extends through the entire shoe.A slight update to last year's model, the 2 features a repositioned Swoosh logo with zig-zag stitching and a newly added TPU component that the laces feed through to help reduce in-shoe movement."
20,1,Nike Phantom GT2 Club MG,3997,Multi-Ground Football Boot,"Building off the Phantom GT, the Nike Phantom GT2 Club MG features an updated design and patterning that's engineered to help you place your shots with pinpoint accuracy.Off-centre lacing provides a clean strike zone to help you dribble, pass and score with precision."
21,1,Nike AF 1/1,9997,Men's Shoes,"The radiance lives on in the Nike AF 1/1, the b-ball classic that puts a tailored spin on what you know best: crisp leather, bold colours, and the perfect amount of flash to make you shine.The customisable design uses hook-and-loop details with removable overlays so you change up your look to match the day."
22,1,Nike Court Vision Alta,4797,Women's Shoes,"Street fashion meets b-ball authenticity in the distinctly modern and 100% feminine Nike Court Vision Alta.The detailed upper features a collapsible heel for style versatility, chic synthetic leather with tumbled texture and transparent mesh for an airy aesthetic.Its lifted foam midsole feels incredible while keeping the heritage b-ball look."
23,1,Nike Air Force 1/1,5997,Older Kids' Shoe,"Dream big with the legend.The Nike Air Force 1/1 is yours to customise how you want—yes, we're serious!Mix it up with this '82 icon however you want.Choose your set of removable patches: shoot for the moon with a lunar-inspired pack on a black base or find a hidden gem with a stone and exploration pack on a white base.We're ready to see yours!"
24,1,Nike Air Zoom Pegasus 38 FlyEase,7997,Men's Easy On/Off Road Running Shoes (Extra Wide),"Your workhorse with wings returns.The Nike Air Zoom Pegasus 38 FlyEase has that extra bounce for long, short or everyday road runs.It's cool and breathable with a wider fit at the toes and plenty of cushioned support to help you fly past your personal goals.A FlyEase entry system gets you in quickly and easily."
25,1,Nike Crater Remixa,4397,Men's Shoes,"Today's world brings choices. That's why we've decided to keep sustainability in mind to create this running staple. Bridging futuristic details with a fresh design, the Nike Crater Remixa is made from at least 20% recycled material by weight. The Crater Foam midsole feels like you're walking on clouds while the upper lets you dress for the occasion."
26,1,Nike Blazer Mid '77,7437,Men's Shoe,"Celebrating 50 years of Swoosh, the streetwear favourite returns with A+ looks.Featuring the original Swoosh design, a removable lace aglet with diamond and other heritage details, it harnesses the old-school look of Nike b-ball to deliver a history lesson in style.Luscious suede and double laces add panache while the plush collar keeps the classic look you love.The Nike Blazer Mid '77—classic since the beginning."
27,1,Nike Tiempo Legend 9 Club MG,3597,Multi-Ground Football Boot,"1 of our lightest Tiempos to date, the Nike Tiempo Legend 9 Club MG lets you go on the offensive with a low-profile design that's reinvented for attackers.The upper has raised textures backed by soft foam pods for precise dribbling, passing and shooting, while studs on the bottom provide traction for quick cuts and sudden stops."
28,1,Nike Blazer Low Platform,7037,Women's Shoes,"Rise up to every occasion in the Nike Blazer Low Platform.This hardwood legend gets a lift and presses refresh with a pop of silver, bringing a sparkle of positivity."
29,1,Nike Star Runner 3,2397,Baby/Toddler Shoes,"We've got some serious star power here. The Nike Star Runner 3 shoots for the sky with play-ready shoes made for each crawl to every growing step. We've added 2 straps for easy take-off, plus super-soft foam and lots of flexibility to rocket up the comfort. Designed with the Earth in mind, they're made from at least 20% recycled content by weight."
30,1,Nike Court Vision Alta,4797,Women's Shoes,Raise the bar with the Nike Court Vision Alta. The modern design combines leather on top with the perfect lift underneath. The elevated hoops look then crowns your feet with its ultra-plush tongue.
31,1,Nike React Infinity Run Flyknit 2,11597,Men's Road Running Shoes,"The Nike React Infinity Run Flyknit 2 continues to help keep you running. A refreshed Flyknit upper uses Flywire technology for support and breathability where you need it. Higher foam provides soft responsiveness and long-lasting comfort, plus a wider forefoot helps lessen the chance of stress-related injuries. It's still one of our most tested shoes, designed to help you feel the potential when your foot hits the pavement."
32,1,Nike RYZ 365 2 Serena Williams Design Crew,6637,Women's Shoes,"A lot shorter than a biography and way more fun, the RYZ 365 2 lets you step into Serena's world. Details nod to her achievement on and off the court while the ""10 4 01"" SDC logo on the tongue represents the designers she handpicked to create a collection that lets you be a part of her story."
33,1,Nike Air Force 1 Fontanka,7437,Women's Shoes,"The Nike Air Force 1 Fontanka lets a new wave of comfort and style take hold. Upping the ante with its lifted midsole and layered upper that features soft leather and intricate stitching, the design celebrates the rebellious underground world of the rave scene. If that's not enough, the ""cassette tape"" of ultra-soft React foam in the heel adds a bold, retro look."
34,1,Nike Waffle One SE,6637,Men's Shoe,"Bringing a new look to the Waffle sneaker family, the Nike Waffle One balances everything you love about heritage Nike running with fresh innovations.Its TPU heel clip adds energy while a mixture of transparent mesh (let that sock game shine) and retro suedes give texture and depth.The updated Waffle outsole provides a level of support and traction you have to feel to believe."
35,1,Nike SB Bruin React T,6637,Skate Shoes,"Want a lightweight, flexible shoe you can ride in all day? Us, too. That's why we built the Nike SB Bruin React T. It's a durable low top with springy, responsive Nike React foam—all in a skate-right design."
36,1,Nike Waffle One,6637,Men's Shoes,"Bringing a new look to the iconic Waffle franchise, the Nike Waffle One balances everything you love most about heritage Nike running with fresh innovations.Its new durable plastic heel clip adds energy, while a mixture of transparent mesh and luscious suedes get you ready for summertime.The new springy midsole features the classic wedge shape while the updated Waffle outsole provides a level of support and traction you have to feel to believe."
37,1,Nike ACG Air Deschutz +,4797,Sandals,"From city hikes to canyon trails and long walks on the beach, the Nike ACG Air Deschutz + is built to feel comfortable.It's got a classic '90s look and rugged outdoor-inspired design, with plush padding around the ankle for support.A heavy-duty webbing strap and adjustable hook-and-loop closure keep you focused on the journey ahead."
38,1,Nike React Infinity Run Flyknit 2,11597,Women's Road Running Shoes,"The Nike React Infinity Run Flyknit 2 continues to help keep you running.A refreshed upper uses Flywire technology that combines with Flyknit for support and breathability where you need it.The high foam provide soft responsiveness and long-lasting comfort, plus a wider forefoot for added stability.It's still one of our most tested shoes, designed to help you feel the potential when your foot hits the pavement."
39,1,LeBron 19,3597,Baby & Toddler Shoes,"Future champs can rule playtime like King James in the LeBron 19.This next evolution in LeBron's signature shoe is lightweight and cushioned for kiddos.A wide hook-and-loop strap opening helps little feet slip right in, so they can crawl and walk with the look of LeBron."
40,1,Nike SuperRep Go 2,6637,Women's Training Shoe,"The Nike SuperRep Go 2 combines lightweight cushioning underfoot and breathable mesh up top to get you moving comfortably in circuit-based fitness classes or while streaming workouts at home.With the supportive arc on the side and extra flexibility in the sole, you're ready to go for 1 more rep."
41,1,Nike Phantom GT2 Academy TF,6397,Turf Football Shoe,"Building on the Phantom GT, the Nike Phantom GT2 TF has an updated design and patterning that are engineered to help you place your shots with pinpoint accuracy.Off-centre lacing provides a clean strike zone to help you dribble, pass and score with precision."
42,1,Nike Space Hippie 04,8797,Men's Shoe,"Space Hippie is a story of trash transformed. From the upper to the outsole, at least 25% of the Space Hippie 04 is made from recycled material, by weight. Not only is it the most lightweight silhouette within the collection, it also has the lowest carbon footprint. Its 'Space Waste Yarn' upper includes about 75% recycled content, by weight, made from recycled plastic bottles, T-Shirts and yarn scraps. A soft, Crater Foam midsole combines Nike grind with a blend of foams for stability and a unique aesthetic."
43,1,Nike Daybreak,6397,Women's Shoes,"Originally released in 1979, the Nike Daybreak is a blast from the past. Featuring the same rubber Waffle outsole, it gives you true vintage style."
44,1,Nike Air Zoom Pegasus 38,7997,Men's Running Shoe,"Your workhorse with wings returns with a mash-up of classic Nike logos.The Nike Air Zoom Pegasus 38 has that extra bounce for long, short or everyday runs.It's cool and breathable with a wider fit at the toes and plenty of cushioned support to help you fly past your personal goals."
45,1,Nike Mercurial Superfly 8 Club MG,4797,Multi-Ground Football Boot,"The Nike Mercurial Superfly 8 Club MG sets you up for speed with a seamless fit.Grippy texture on top gives you precise control, while studs on the bottom provide traction for quick cuts and sudden stops."
46,1,Nike Air Zoom Pegasus 38 FlyEase,7997,Men's Easy On/Off Road Running Shoes (Extra Wide),The road is your runway. Get ready to take flight in the workhorse with wings. Launch your daily run with a spring in your step and cushioned support to help fly past your fiercest competitor—yourself. Mesh in the upper combines the comfort and durability you want with a FlyEase entry system that gets you in quickly and easily.
47,1,Jordan 'Why Not?' Zer0.4 PF,9197,Basketball Shoe,"Speed is Russell Westbrook's not-so-secret weapon. He out-hustles the competition, building momentum and muscling his way onto the highlight reel. Cue the Jordan 'Why Not?' Zer0.4, the first to feature double-stacked Zoom in the forefoot. It's an extra-responsive cushioning system that's designed to help him transform speed into force and focus his attack. This PF version uses an extra-durable outsole that's ideal for outdoor courts."
48,1,Nike Air Force 1 Crater,5597,Older Kids' Shoe,"There's a fun secret about the Nike Air Force 1 Crater: It's got sustainable materials from top to bottom.A see-through design provides a peek into the legend of these classic kicks.Plus, super-soft Crater foam is made kid-right and lets you give a little back with every step.These shoes contain at least 20% recycled content by weight."
49,1,Jordan LS,5437,Slides,"Fresh and functional, the Jordan LS Slide offers step-in comfort.It has an adjustable fold-over strap built on a Solarsoft foam footbed, plus a removable heel strap to personalise your fit.A removable stash pocket ups the utility."
50,1,Nike Air Zoom Pegasus 38,7997,Men's Road Running Shoes,"Your workhorse with wings returns.The Nike Air Zoom Pegasus 38 has that extra bounce for long, short or everyday runs.It's cool and breathable with a wider fit at the toes and plenty of cushioned support that will make you feel like you're flying on the road.Bold colours nod to the world coming together to celebrate sport."
51,1,Nike SB Zoom Blazer Mid Premium,7037,Skate Shoe,"Inspired by the community art spaces of Barcelona, the Nike SB Zoom Blazer Mid Premium is made from a collage of materials like suede, leather and canvas.The design is elevated with a multi-coloured ""Nike"" embroidery on the heel and a mismatched Swoosh, capped off by a contrasting herringbone sole."
52,1,Nike Air Force 1 Shadow,7197,Women's Shoes,"The Nike Air Force 1 Shadow puts a playful twist on a classic b-ball design.Using a layered approach, doubling the branding and exaggerating the midsole, it highlights AF-1 DNA with a bold, new look."
53,1,Nike Flex Run 2021,5437,Men's Road Running Shoes,"From short runs to running errands, the Nike Flex Run 2021 keeps you comfortable in a lightweight, minimal design made from at least 20% recycled content by weight.It has a stretchy, adaptable fit and the flexibility you want for a natural feel as you hit your groove.Soft yet durable foam feels plush under every step."
54,1,Nike Victori One,2077,Women's Print Slide,"From the beach to the streets, the Nike Victori One perfects a classic, must-have design. Delivering lightweight comfort that's easy to wear, it features new, softer foam that feels comfortable. The contoured footbed with grip pattern helps cradle and hold your foot in place. The wide, padded strap feels as good as it looks."
55,1,Nike Metcon 7,9197,Training Shoes,"The Nike Metcon 7 is the gold standard for weight training—even tougher and more stable than previous versions.We've also added React foam that ups the comfort to keep you ready for high-intensity cardio.Plus, a tab locks down your laces so you can forget about them coming untied when you're focused on your next PR."
56,1,Nike Air Zoom Rival Fly 3,6557,Men's Road Racing Shoes,"When you're ready to ramp up the speed and go the distance, take off in a model that's built for training and racing. Our latest version includes foam cushioning that's softer than ever, and abrasion-resistant rubber for extra durability on rocky roads. With updates like these, you'll be able to stay focused as you push towards the finishing line."
57,1,Nike Defy All Day,3997,Men's Training Shoe,Take on everyday challenges in the Nike Defy All Day. Leather up top and rubber traction on the bottom create a durable design that lasts the rigours of tough training sessions. Soft cushioning carries comfort through your workout—or a day of getting things done.
58,1,Nike Tiempo Legend 9 Club IC,3597,Indoor/Court Football Shoe,"1 of our lightest Tiempos to date, the Nike Tiempo Legend 9 Club IC lets you go on the offensive with a low-profile design that's reinvented for attackers.The upper has raised textures backed by soft foam pods for precise dribbling, passing and shooting, while a rubber sole helps supercharge traction during small-sided games."
59,1,Nike Air Max 2021,7997,Older Kids' Shoes,"We've gone into the lab to rethink everything in the Nike Air Max 2021. We put our best people on it, testing out a new Air unit that makes your feet bounce like never before. Mixing our most important features—lightweight, durable and revolutionary—we've designed these kicks with the planet in mind, too. It's the definition of innovation for the next generation of Air Max. This product is from with at least 20% recycled content by weight."
60,1,Nike Air Force 1 Pixel SE,7437,Women's Shoes,"You've always been on point.Let there be no doubt in the Nike Air Force 1 Pixel SE, a re-imagined off-court style for you, by you.The distorted outsole and lifted midsole feature large, pixelated details for modern appeal while the inverted animal print Swoosh logo delivers a primal touch.You're not just in the game.You're leading it."
61,1,Nike Air Max 90 Premium,9997,Men's Shoe,"Nothing as fly, nothing as comfortable, nothing as proven—the Nike Air Max 90 Premium stays true to its roots, with the iconic Waffle outsole, stitched overlays and classic TPU accents. Fresh colours give a modern look while Max Air cushioning adds comfort to your journey."
62,1,Nike Air Max Genome,12397,Men's Shoes,"Inspired by the early 2000s look, the Air Max Genome adds a fresh face to the Air Max house.Its techy upper features a mixture of materials including sleek no-sew skins, airy mesh and durable TPU details.The low-profile, full-length Air unit adds comfort to match its sleek design that's sure to become your new favourite Air Max."
63,1,Nike ACG Mountain Fly Low,13277,Shoes,"Fast, rugged and just as at home in the city as it is in deserts, canyons and mountains, the Nike ACG Mountain Fly Low is ready for whatever you throw at it.The lightweight Ripstop and synthetic upper is durable and airy, while the easy-to-cinch lacing system adds on-the-go personalisation.The sticky rubber outsole brings crag-inspired traction as the soft Nike React foam sole delivers undisputed comfort whether you're pounding the pavement in the city wilds or leaping rock to rock in Joshua Tree."
64,1,KD14 EP,10797,Basketball Shoes,"Kevin Durant lurks on the wing, waiting for the right time to strike before slicing his way through defences.The KD14 EP is designed to help versatile, relentless players like KD feel fresh all game long.Multi-layer mesh and a midfoot strap help reduce the foot's movements inside the shoe.Full-length Zoom Air cushioning plus Cushlon foam give back energy for lasting performance.This EP version uses an extra-durable sole that's ideal for outdoor courts."
65,1,Nike React Infinity Run Flyknit 2,11597,Women's Road Running Shoes,"The Nike React Infinity Run Flyknit 2 continues to help keep you running. A refreshed upper combines Flyknit and Flywire technology for support and breathability where you need it. A wider forefoot provides stability to prevent rolling, while the high foam heights provide soft responsiveness and long-lasting comfort. It's still one of our most tested shoes, designed to help you feel the potential when your foot hits the pavement."
